StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,bot_1_1,bot_1_time_First Click,bot_1_time_Last Click,bot_1_time_Page Submit,bot_1_time_Click Count,consent1,consent2,Prolific_ver,gender,gender_9_TEXT,nativeness,pre_time_First Click,pre_time_Last Click,pre_time_Page Submit,pre_time_Click Count,Task_Desc_time_First Click,Task_Desc_time_Last Click,Task_Desc_time_Page Submit,Task_Desc_time_Click Count,task_intro_time_First Click,task_intro_time_Last Click,task_intro_time_Page Submit,task_intro_time_Click Count,Training_C1_Q1_time_First Click,Training_C1_Q1_time_Last Click,Training_C1_Q1_time_Page Submit,Training_C1_Q1_time_Click Count,Training_C1_Q1_1_1,Training_C1_Q1_1_2,Training_C1_Q1_1_3,Training_C1_Q1_1_4,Training_C1_Q1_1_5,Training_C1_Q1_1_6,Training_C1_Q1_1_7,Training_C1_Q1_1_8,Training_C1_Q2_time_First Click,Training_C1_Q2_time_Last Click,Training_C1_Q2_time_Page Submit,Training_C1_Q2_time_Click Count,Training_C1_Q2_1_1,Training_C1_Q2_1_2,Training_C1_Q2_1_3,Training_C1_Q2_1_4,Training_C1_Q2_1_5,Training_C1_Q2_1_6,Training_C1_Q2_1_7,Training_C1_Q2_1_8,Training_C1_Q3_time_First Click,Training_C1_Q3_time_Last Click,Training_C1_Q3_time_Page Submit,Training_C1_Q3_time_Click Count,Training_C1_Q3_1_1,Training_C1_Q3_1_2,Training_C1_Q3_1_3,Training_C1_Q3_1_4,Training_C1_Q3_1_5,Training_C1_Q3_1_6,Training_C1_Q3_1_7,Training_C1_Q3_1_8,Training_C1_Q4_time_First Click,Training_C1_Q4_time_Last Click,Training_C1_Q4_time_Page Submit,Training_C1_Q4_time_Click Count,Training_C1_Q4_1_1,Training_C1_Q4_1_2,Training_C1_Q4_1_3,Training_C1_Q4_1_4,Training_C1_Q4_1_5,Training_C1_Q4_1_6,Training_C1_Q4_1_7,Training_C1_Q4_1_8,bot_1_2,bot_2_time_First Click,bot_2_time_Last Click,bot_2_time_Page Submit,bot_2_time_Click Count,game_intro_time_First Click,game_intro_time_Last Click,game_intro_time_Page Submit,game_intro_time_Click Count,Game_C1_Q1_time_First Click,Game_C1_Q1_time_Last Click,Game_C1_Q1_time_Page Submit,Game_C1_Q1_time_Click Count,Game_C1_Q1_1_1,Game_C1_Q1_1_2,Game_C1_Q1_1_3,Game_C1_Q1_1_4,Game_C1_Q1_1_5,Game_C1_Q1_1_6,Game_C1_Q1_1_7,Game_C1_Q1_1_8,Game_C1_Q2_time_First Click,Game_C1_Q2_time_Last Click,Game_C1_Q2_time_Page Submit,Game_C1_Q2_time_Click Count,Game_C1_Q2_1_1,Game_C1_Q2_1_2,Game_C1_Q2_1_3,Game_C1_Q2_1_4,Game_C1_Q2_1_5,Game_C1_Q2_1_6,Game_C1_Q2_1_7,Game_C1_Q2_1_8,Game_C1_Q3_time_First Click,Game_C1_Q3_time_Last Click,Game_C1_Q3_time_Page Submit,Game_C1_Q3_time_Click Count,Game_C1_Q3_1_1,Game_C1_Q3_1_2,Game_C1_Q3_1_3,Game_C1_Q3_1_4,Game_C1_Q3_1_5,Game_C1_Q3_1_6,Game_C1_Q3_1_7,Game_C1_Q3_1_8,Game_C1_Q4_time_First Click,Game_C1_Q4_time_Last Click,Game_C1_Q4_time_Page Submit,Game_C1_Q4_time_Click Count,Game_C1_Q4_1_1,Game_C1_Q4_1_2,Game_C1_Q4_1_3,Game_C1_Q4_1_4,Game_C1_Q4_1_5,Game_C1_Q4_1_6,Game_C1_Q4_1_7,Game_C1_Q4_1_8,Game_C1_Q5_time_First Click,Game_C1_Q5_time_Last Click,Game_C1_Q5_time_Page Submit,Game_C1_Q5_time_Click Count,Game_C1_Q5_1_1,Game_C1_Q5_1_2,Game_C1_Q5_1_3,Game_C1_Q5_1_4,Game_C1_Q5_1_5,Game_C1_Q5_1_6,Game_C1_Q5_1_7,Game_C1_Q5_1_8,Game_C1_Q6_time_First Click,Game_C1_Q6_time_Last Click,Game_C1_Q6_time_Page Submit,Game_C1_Q6_time_Click Count,Game_C1_Q6_1_1,Game_C1_Q6_1_2,Game_C1_Q6_1_3,Game_C1_Q6_1_4,Game_C1_Q6_1_5,Game_C1_Q6_1_6,Game_C1_Q6_1_7,Game_C1_Q6_1_8,Game_C1_Q7_time_First Click,Game_C1_Q7_time_Last Click,Game_C1_Q7_time_Page Submit,Game_C1_Q7_time_Click Count,Game_C1_Q7_1_1,Game_C1_Q7_1_2,Game_C1_Q7_1_3,Game_C1_Q7_1_4,Game_C1_Q7_1_5,Game_C1_Q7_1_6,Game_C1_Q7_1_7,Game_C1_Q7_1_8,Game_C1_Q8_time_First Click,Game_C1_Q8_time_Last Click,Game_C1_Q8_time_Page Submit,Game_C1_Q8_time_Click Count,Game_C1_Q8_1_1,Game_C1_Q8_1_2,Game_C1_Q8_1_3,Game_C1_Q8_1_4,Game_C1_Q8_1_5,Game_C1_Q8_1_6,Game_C1_Q8_1_7,Game_C1_Q8_1_8,Game_C1_Q9_time_First Click,Game_C1_Q9_time_Last Click,Game_C1_Q9_time_Page Submit,Game_C1_Q9_time_Click Count,Game_C1_Q9_1_1,Game_C1_Q9_1_2,Game_C1_Q9_1_3,Game_C1_Q9_1_4,Game_C1_Q9_1_5,Game_C1_Q9_1_6,Game_C1_Q9_1_7,Game_C1_Q9_1_8,Cohort1_Q10_time_First Click,Cohort1_Q10_time_Last Click,Cohort1_Q10_time_Page Submit,Cohort1_Q10_time_Click Count,Cohort1_Q10_1_1,Cohort1_Q10_1_2,Cohort1_Q10_1_3,Cohort1_Q10_1_4,Cohort1_Q10_1_5,Cohort1_Q10_1_6,Cohort1_Q10_1_7,Cohort1_Q10_1_8,task_load_1_1,task_load_2_1,task_load_3_1,task_load_4_1,task_load_5_1,avg_task_load,task_load_time_First Click,task_load_time_Last Click,task_load_time_Page Submit,task_load_time_Click Count,PROLIFIC_PID,cohort_num,DeviceIdentifier,training_counter,game_counter,avg_trust,avg_explanation
17-11-20 8:53,17-11-20 9:11,IP Address,51.194.18.207,100,1076,TRUE,17-11-20 9:11,R_3lG2NeQUPKVodj4,,,,,51.41799927,-0.175201416,anonymous,EN,0.7,s,5.928,5.928,9.986,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ddec4e0b966dee27265fff2,Female,,24,2.046,2.846,6.124,2,2.509,25.461,45.699,8,0,0,18.114,0,17.294,70.222,76.118,29,0,1,0,1,0,2,0,1,1.944,35.559,36.745,24,0,1,1,2,0,0,0,1,6.347,45.642,51.461,26,1,0,0,0,1,0,2,0,3.725,38.693,47.107,27,1,1,1,0,1,0,1,0,e,2.594,2.594,6.016,1,5.061,5.413,14.587,2,1.582,45.566,48.34,37,1,0,0,1,1,3,1,1,2.657,64.986,71.807,59,1,3,1,1,0,0,1,2,1.52,41.255,58.886,53,0,1,0,1,2,3,1,0,4.026,51.994,65.791,53,0,0,0,0,2,4,2,0,1.567,47.301,50.094,64,1,1,1,1,1,1,2,0,2.05,81.81,98.858,66,0,1,1,1,1,2,0,1,2.158,44.327,58.564,62,0,0,0,3,3,0,2,0,2.327,37.919,47.813,42,3,1,3,1,0,0,0,0,2.133,62.388,75.442,31,1,0,1,2,1,1,1,0,2.253,50.637,63.717,48,0,1,0,2,2,3,0,1,19,6,6,20,13,12.8,2.686,16.453,17.517,5,,1,,5,11,0,0
17-11-20 9:00,17-11-20 9:16,IP Address,94.1.140.14,100,947,TRUE,17-11-20 9:16,R_3PWYYWDjgd2wE6a,,,,,54.70019531,-6.19909668,anonymous,EN,0.9,s,11.646,11.646,19.295,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5c375d42b370d2000144e045,Female,,30,3.138,4.814,8.472,2,0,0,67.721,0,0,0,20.653,0,28.407,40.096,74.807,2,0,1,0,1,0,2,0,1,20.22,20.22,50.682,1,0,1,1,2,0,0,0,1,8.322,21.98,53.68,5,1,0,0,0,2,0,2,0,9.505,9.505,46.223,1,1,1,1,0,1,0,1,0,e,3.062,3.062,7.525,1,0,0,7.641,0,0.031,29.615,35.323,7,1,0,0,0,1,0,1,0,5.094,34.751,36.23,4,0,2,0,1,0,0,1,1,11.601,88.191,90.537,30,0,1,0,1,1,2,1,1,7.62,29.745,39.196,5,0,0,0,0,2,2,2,0,4.087,4.087,18.988,1,1,2,0,1,1,0,1,2,19.632,19.634,31.805,2,0,0,0,0,0,0,0,0,19.996,44.864,45.563,10,0,0,0,1,1,0,1,0,4.321,57.122,62.95,9,2,1,1,0,0,0,0,0,4.651,21.836,24.166,3,1,0,0,1,0,0,1,0,20.686,61.553,64.875,23,0,1,0,1,1,1,0,1,19,9,11,17,18,14.8,4.007,25.499,26.76,7,,1,,5,11,0,0
17-11-20 9:06,17-11-20 9:18,IP Address,109.152.223.158,100,740,TRUE,17-11-20 9:18,R_2bT6UWLYRnrqhfp,,,,,51.94740295,0.135604858,anonymous,EN,0.9,s,3.81,3.81,6.884,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5e701978f830815f24652010,Female,,28,1.796,2.946,5.622,2,2.514,2.514,45.723,1,0,0,13.144,0,4.305,36.404,37.738,14,0,1,0,1,0,2,0,1,7.026,37.01,44.8,13,0,1,1,2,0,0,0,1,9.885,63.916,68.764,15,1,0,0,0,2,0,2,0,3.988,24.877,28.051,15,1,1,1,0,1,0,1,0,e,2.098,2.098,4.824,1,0,0,13.049,0,2.969,24.205,28.135,13,1,0,0,0,1,2,1,0,3.742,33.673,42.588,20,1,4,1,0,0,0,1,1,3.338,33.464,38.78,21,0,1,0,1,2,2,1,0,4.632,30.316,33.299,18,0,0,0,0,2,4,2,0,4.34,39.937,41.246,24,1,1,1,1,1,1,2,0,10.893,32.466,34.704,13,0,2,1,0,0,1,1,0,5.948,26.964,28.876,16,0,0,0,1,1,1,2,1,3.289,23.42,36.331,16,2,1,2,1,0,0,0,0,4.91,30.22,33.188,15,1,0,1,1,0,1,1,0,7.001,28.479,32.478,13,0,1,0,1,1,2,0,0,17,12,6,13,12,12,3.484,21.061,22.567,8,,1,,5,11,0,0
17-11-20 9:05,17-11-20 9:21,IP Address,46.134.8.138,100,997,TRUE,17-11-20 9:21,R_cIQWiHENpF9sjo5,,,,,50.30070496,18.94619751,anonymous,EN,0.9,s,4.064,75.382,78.387,5,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ee7b0d8c7fb3805dedaad26,Male,,18,1.517,2.4,24.105,2,7.453,8.371,27.229,3,3.837,3.837,7.094,1,4.3,37.572,41.135,29,0,1,0,1,0,2,0,1,3.649,37.838,40.78,31,0,1,1,2,0,0,0,1,1.678,36.843,38.851,32,1,0,0,0,2,0,2,0,3.361,23.657,25.496,29,1,0,2,0,1,0,1,0,e,6.473,6.473,7.969,1,3.4,3.4,6.624,1,3.082,69.245,82.382,62,1,0,0,1,2,3,1,2,2.099,38.877,40.117,32,0,3,1,0,0,0,1,1,1.544,39.414,43.112,49,0,1,0,1,2,3,1,0,4.752,27.128,27.993,33,0,0,0,0,2,2,2,0,0.816,45.72,50.74,52,2,1,0,1,1,1,1,0,3.117,88.556,93.836,57,0,1,0,1,0,3,1,1,2.645,49.752,52.512,65,0,1,1,1,2,1,2,1,2.515,65.999,67.51,47,2,1,3,1,0,0,0,0,2.849,37.824,42.786,40,1,0,0,3,0,1,1,0,4.203,73.199,74.865,64,0,1,0,4,1,2,0,0,15,13,8,13,15,12.8,2.205,8.279,10.109,7,,1,,5,11,0,0
17-11-20 9:09,17-11-20 9:23,IP Address,82.18.85.53,100,798,TRUE,17-11-20 9:23,R_29ulP3cKkAaGab0,,,,,55.90049744,-4.450302124,anonymous,EN,0.9,s,0.626,2.303,9.606,2,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5b5851f7e3715b0001f8a698,Female,,20,1.716,6.92,8.58,5,1.869,23.083,24.86,4,0,0,9.255,0,1.802,31.245,33.823,16,0,1,0,1,0,2,0,1,7.613,33.553,34.611,11,0,1,1,1,0,0,0,2,1.595,14.231,15.826,7,2,0,0,0,2,0,2,0,8.723,36.4,38.102,15,1,1,1,0,1,0,1,0,e,2.392,2.392,5.595,1,5.162,5.162,8.345,1,8.808,40.872,43.22,12,1,0,0,1,2,2,1,1,4.833,58.229,61.01,12,0,4,1,0,0,0,1,2,14.794,59.391,60.392,11,0,1,0,1,2,3,1,0,3.971,36.878,38.769,11,0,0,0,1,2,4,2,0,12.63,43.86,47.16,10,2,1,1,0,1,1,1,1,1.377,67.745,68.598,13,0,2,1,1,0,2,1,1,14.894,39.244,40.078,8,0,1,0,1,1,2,2,1,18.001,44.46,45.644,8,3,1,2,0,0,0,0,0,17.459,41.011,44.063,8,1,1,0,2,1,1,1,0,0.631,48.871,49.372,19,0,1,0,1,2,3,0,1,17,4,3,21,11,11.2,2.881,13.772,14.627,10,,1,,5,11,0,0
17-11-20 9:13,17-11-20 9:24,IP Address,86.151.94.119,100,688,TRUE,17-11-20 9:24,R_2VaVKm4MtVhGhnm,,,,,50.4644928,-4.464797974,anonymous,EN,0.9,s,4.028,4.028,6.472,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ebbcf207e02a01b3cfbf8fa,Female,,20,2.098,3.084,5.154,2,53.328,102.135,105.013,17,0,0,13.933,0,12.506,22.728,24.939,4,0,1,0,1,0,2,0,1,12.098,21.777,24.481,3,0,2,0,2,0,0,0,1,9.718,27.022,29.687,5,1,0,0,0,2,0,2,0,13.405,23.246,24.858,5,1,1,1,0,1,0,1,0,e,8.611,8.611,10.532,1,0,0,9.483,0,5.405,29.564,32.079,5,1,0,0,0,1,2,1,0,16.321,29.577,31.509,4,0,3,1,0,0,0,1,0,6.707,25.859,28.801,6,0,1,0,1,2,0,1,0,6.384,20.29,23.177,5,0,0,0,0,2,3,2,0,10.749,31.045,32.902,5,2,1,0,0,1,0,0,1,5.621,31.582,32.057,4,0,0,0,0,0,1,1,0,13.354,16.683,28.348,3,0,0,0,0,1,0,1,1,5.804,23.587,26.267,5,1,1,1,0,0,0,0,0,10.795,16.095,23.211,3,0,0,1,1,0,0,1,0,20.659,31.599,34.081,3,0,0,0,0,1,1,0,1,16,14,7,17,12,13.2,2.606,46.088,47.133,6,,1,,5,11,0,0
17-11-20 9:11,17-11-20 9:26,IP Address,213.104.126.249,100,886,TRUE,17-11-20 9:26,R_3qO1EwA66lECIEP,,,,,51.48970032,-0.106506348,anonymous,EN,0.3,s,3.707,3.707,14.769,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ef29f54f1cc961c49da3fb1,Female,,20,2.092,2.895,5.539,2,0,0,60.827,0,0,0,28.791,0,27.268,44.497,48.393,5,0,1,0,1,0,2,0,1,8.579,16.017,20.501,4,0,1,1,2,0,0,0,1,6.425,14.083,22.333,4,1,0,0,0,2,0,2,0,6.32,15.925,21.08,5,1,1,1,0,1,0,1,0,e,3.788,3.788,5.632,1,0,0,3.421,0,4.117,23.739,35.578,12,1,0,0,1,1,2,1,0,3.455,40.466,56.277,16,0,4,1,0,0,0,1,2,4.435,26.729,35.144,14,0,1,0,1,2,2,1,0,4.552,26.323,41.97,14,0,0,0,0,2,4,2,0,3.909,55.521,60.619,23,2,1,3,0,1,1,0,1,6.032,46.495,52.371,17,0,2,0,1,0,3,1,1,4.264,53.278,57.418,14,0,0,1,2,1,1,2,0,6.422,36.268,43.056,14,1,1,3,1,0,0,0,0,8.107,27.438,34.577,4,1,0,1,1,0,1,0,0,5.45,48.365,63.991,12,0,1,0,1,1,3,0,0,18,2,6,21,12,11.8,4.396,31.061,33.976,5,,1,,5,11,0,0
17-11-20 9:09,17-11-20 9:26,IP Address,46.208.253.105,100,1046,TRUE,17-11-20 9:26,R_2OHyUFtf2n2ykkp,,,,,51.6000061,-0.166702271,anonymous,EN,0.9,s,6.208,6.208,8.48,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5d23d3fc4c615500189196dc,Female,,29,3.831,5.543,9.013,2,0,0,53.08,0,0,0,22,0,12.648,54.988,91.212,10,0,1,0,1,0,2,0,1,5.586,24.672,27.238,9,0,1,1,1,0,0,0,2,5.238,23.298,28.983,8,1,0,0,0,2,0,2,0,5.511,23.513,25.835,10,1,1,1,0,1,0,1,0,e,2.907,2.907,6.848,1,0,0,9.311,0,4.246,43.624,46.239,15,1,0,0,1,2,3,1,1,5.374,55.686,58.718,14,1,4,1,0,0,0,1,2,5.146,38.467,40.725,13,0,1,0,1,2,3,1,0,4.895,33.542,37.09,12,0,0,0,0,2,4,2,0,5.897,75.405,85.644,19,2,1,1,1,1,1,1,0,9.595,60.547,72.885,19,0,2,1,1,0,3,1,1,22.642,100.727,104.702,15,0,0,2,1,2,1,2,1,7.898,44.032,47.784,14,3,1,3,1,0,0,0,0,5.536,67.033,70.35,17,1,1,1,2,1,1,1,1,10.576,64.357,69.334,15,0,1,0,1,2,2,0,1,15,4,4,20,1,8.8,4.754,25.125,26.88,5,,1,,5,11,0,0
17-11-20 9:05,17-11-20 9:28,IP Address,5.151.89.226,100,1386,TRUE,17-11-20 9:28,R_1lgUScfZJDDeYzL,,,,,51.90490723,0.91859436,anonymous,EN,0.9,s,1.87,14.662,17.069,2,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5f64c3e18fe78602c9569227,Female,,18,1.849,2.953,5.493,2,0,0,71.127,0,0,0,37.615,0,2.973,40.598,50.76,19,0,1,0,1,0,2,0,1,9.502,21.478,26.9,4,0,1,1,1,0,0,0,2,4.624,63.392,95.872,15,1,0,0,1,2,0,2,0,8.757,22.903,37.471,5,1,1,1,0,1,0,1,0,e,3.199,3.199,6.32,1,0,0,13.891,0,4.671,75.336,78.578,25,1,0,0,1,1,3,0,1,5.499,61.592,68.982,14,1,4,1,0,0,0,1,2,3.511,73.593,78.531,15,0,1,0,1,2,3,1,1,4.828,56.137,61.268,15,0,0,0,1,2,4,2,0,3.836,70.927,80.138,15,2,1,1,1,1,1,1,0,4.162,75.593,81.632,18,0,2,1,1,0,3,1,1,9.177,127.39,131.72,22,0,1,1,1,2,1,2,1,3.666,81.142,83.794,33,3,1,3,1,0,0,0,0,6.56,94.081,102.915,20,1,1,1,2,1,1,1,1,3.595,78.861,88.614,22,0,1,0,1,2,3,0,1,12,5,4,15,3,7.8,12.109,45.644,46.74,8,,1,,5,11,0,0
17-11-20 9:08,17-11-20 9:28,IP Address,88.215.5.191,100,1246,TRUE,17-11-20 9:29,R_2y8kURFCxmN5ssI,,,,,51.49639893,-0.122406006,anonymous,EN,0.9,s,5.582,5.582,15.464,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ea94d7f02d5100133a9756b,Male,,45,2.797,3.717,7.13,2,32.752,32.752,74.216,1,0,0,22.5,0,5.37,22.102,28.75,11,0,1,0,1,0,2,0,1,4.915,21.299,30.254,10,0,1,1,1,0,0,0,2,5.236,19.609,23.756,11,1,0,0,0,2,0,2,0,12.868,41.132,61.269,13,1,1,1,0,1,0,1,0,e,2.913,2.913,7.283,1,0,0,14.892,0,3.033,59.441,78.593,18,1,0,0,1,2,3,1,1,5.623,104.174,128.816,28,1,4,1,1,0,0,1,1,3.846,35.589,89.345,17,0,1,0,1,2,3,1,0,5.105,47.417,67.135,18,0,0,0,1,2,4,2,0,3.318,39.493,56.614,20,2,1,2,1,1,1,1,0,6.753,67.744,93.246,18,0,2,1,1,0,3,1,1,4.574,41.949,77.138,16,0,1,1,1,2,0,2,1,7.659,48.138,83.051,15,3,1,3,1,0,0,0,0,5.581,44.406,77.884,19,1,1,1,2,1,1,1,1,3.807,49.682,76.73,22,0,1,0,2,3,2,0,1,17,9,5,17,3,10.2,4.83,22.34,23.268,6,,1,,5,11,0,0
