StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,bot_1_1,bot_1_time_First Click,bot_1_time_Last Click,bot_1_time_Page Submit,bot_1_time_Click Count,consent1,consent2,Prolific_ver,gender,gender_9_TEXT,nativeness,pre_time_First Click,pre_time_Last Click,pre_time_Page Submit,pre_time_Click Count,Task_Desc_time_First Click,Task_Desc_time_Last Click,Task_Desc_time_Page Submit,Task_Desc_time_Click Count,comp_assi_time_First Click,comp_assi_time_Last Click,comp_assi_time_Page Submit,comp_assi_time_Click Count,Q1026_First Click,Q1026_Last Click,Q1026_Page Submit,Q1026_Click Count,Training_C35_Q1_time_First Click,Training_C35_Q1_time_Last Click,Training_C35_Q1_time_Page Submit,Training_C35_Q1_time_Click Count,Training_C35_Q1_1_1,Training_C35_Q1_1_2,Training_C35_Q1_1_3,Training_C35_Q1_1_4,Training_C35_Q1_1_5,Training_C35_Q1_1_6,Training_C35_Q1_1_7,Training_C35_Q1_1_8,Training_C35_Q2_time_First Click,Training_C35_Q2_time_Last Click,Training_C35_Q2_time_Page Submit,Training_C35_Q2_time_Click Count,Training_C35_Q2_1_1,Training_C35_Q2_1_2,Training_C35_Q2_1_3,Training_C35_Q2_1_4,Training_C35_Q2_1_5,Training_C35_Q2_1_6,Training_C35_Q2_1_7,Training_C35_Q2_1_8,Training_C35_Q3_time_First Click,Training_C35_Q3_time_Last Click,Training_C35_Q3_time_Page Submit,Training_C35_Q3_time_Click Count,Training_C35_Q3_1_1,Training_C35_Q3_1_2,Training_C35_Q3_1_3,Training_C35_Q3_1_4,Training_C35_Q3_1_5,Training_C35_Q3_1_6,Training_C35_Q3_1_7,Training_C35_Q3_1_8,Training_C35_Q4_time_First Click,Training_C35_Q4_time_Last Click,Training_C35_Q4_time_Page Submit,Training_C35_Q4_time_Click Count,Training_C35_Q4_1_1,Training_C35_Q4_1_2,Training_C35_Q4_1_3,Training_C35_Q4_1_4,Training_C35_Q4_1_5,Training_C35_Q4_1_6,Training_C35_Q4_1_7,Training_C35_Q4_1_8,bot_1_2,bot_2_time_First Click,bot_2_time_Last Click,bot_2_time_Page Submit,bot_2_time_Click Count,game_intro_time_First Click,game_intro_time_Last Click,game_intro_time_Page Submit,game_intro_time_Click Count,Game_C35_Q1_time_First Click,Game_C35_Q1_time_Last Click,Game_C35_Q1_time_Page Submit,Game_C35_Q1_time_Click Count,Game_C35_Q1_1_1,Game_C35_Q1_1_2,Game_C35_Q1_1_3,Game_C35_Q1_1_4,Game_C35_Q1_1_5,Game_C35_Q1_1_6,Game_C35_Q1_1_7,Game_C35_Q1_1_8,Game_C35_Q2_time_First Click,Game_C35_Q2_time_Last Click,Game_C35_Q2_time_Page Submit,Game_C35_Q2_time_Click Count,Game_C35_Q2_1_1,Game_C35_Q2_1_2,Game_C35_Q2_1_3,Game_C35_Q2_1_4,Game_C35_Q2_1_5,Game_C35_Q2_1_6,Game_C35_Q2_1_7,Game_C35_Q2_1_8,Game_C35_Q3_time_First Click,Game_C35_Q3_time_Last Click,Game_C35_Q3_time_Page Submit,Game_C35_Q3_time_Click Count,Game_C35_Q3_1_1,Game_C35_Q3_1_2,Game_C35_Q3_1_3,Game_C35_Q3_1_4,Game_C35_Q3_1_5,Game_C35_Q3_1_6,Game_C35_Q3_1_7,Game_C35_Q3_1_8,Game_C35_Q4_time_First Click,Game_C35_Q4_time_Last Click,Game_C35_Q4_time_Page Submit,Game_C35_Q4_time_Click Count,Game_C35_Q4_1_1,Game_C35_Q4_1_2,Game_C35_Q4_1_3,Game_C35_Q4_1_4,Game_C35_Q4_1_5,Game_C35_Q4_1_6,Game_C35_Q4_1_7,Game_C35_Q4_1_8,Game_C35_Q5_time_First Click,Game_C35_Q5_time_Last Click,Game_C35_Q5_time_Page Submit,Game_C35_Q5_time_Click Count,Game_C35_Q5_1_1,Game_C35_Q5_1_2,Game_C35_Q5_1_3,Game_C35_Q5_1_4,Game_C35_Q5_1_5,Game_C35_Q5_1_6,Game_C35_Q5_1_7,Game_C35_Q5_1_8,Game_C35_Q6_time_First Click,Game_C35_Q6_time_Last Click,Game_C35_Q6_time_Page Submit,Game_C35_Q6_time_Click Count,Game_C35_Q6_1_1,Game_C35_Q6_1_2,Game_C35_Q6_1_3,Game_C35_Q6_1_4,Game_C35_Q6_1_5,Game_C35_Q6_1_6,Game_C35_Q6_1_7,Game_C35_Q6_1_8,Game_C35_Q7_time_First Click,Game_C35_Q7_time_Last Click,Game_C35_Q7_time_Page Submit,Game_C35_Q7_time_Click Count,Game_C35_Q7_1_1,Game_C35_Q7_1_2,Game_C35_Q7_1_3,Game_C35_Q7_1_4,Game_C35_Q7_1_5,Game_C35_Q7_1_6,Game_C35_Q7_1_7,Game_C35_Q7_1_8,Game_C35_Q8_time_First Click,Game_C35_Q8_time_Last Click,Game_C35_Q8_time_Page Submit,Game_C35_Q8_time_Click Count,Game_C35_Q8_1_1,Game_C35_Q8_1_2,Game_C35_Q8_1_3,Game_C35_Q8_1_4,Game_C35_Q8_1_5,Game_C35_Q8_1_6,Game_C35_Q8_1_7,Game_C35_Q8_1_8,Game_C35_Q9_time_First Click,Game_C35_Q9_time_Last Click,Game_C35_Q9_time_Page Submit,Game_C35_Q9_time_Click Count,Game_C35_Q9_1_1,Game_C35_Q9_1_2,Game_C35_Q9_1_3,Game_C35_Q9_1_4,Game_C35_Q9_1_5,Game_C35_Q9_1_6,Game_C35_Q9_1_7,Game_C35_Q9_1_8,Cohort35_Q10_time_First Click,Cohort35_Q10_time_Last Click,Cohort35_Q10_time_Page Submit,Cohort35_Q10_time_Click Count,Cohort35_Q10_1_1,Cohort35_Q10_1_2,Cohort35_Q10_1_3,Cohort35_Q10_1_4,Cohort35_Q10_1_5,Cohort35_Q10_1_6,Cohort35_Q10_1_7,Cohort35_Q10_1_8,task_load_1_1,task_load_2_1,task_load_3_1,task_load_4_1,task_load_5_1,avg_task_load,task_load_time_First Click,task_load_time_Last Click,task_load_time_Page Submit,task_load_time_Click Count,trust_1_1,trust_2_1,trust_3_1,trust_4_1,trust_5_1,trust_6_1,trust_7_1,trust_8_1,avg_trust,trust_time_First Click,trust_time_Last Click,trust_time_Page Submit,trust_time_Click Count,explanation_ques_1_1,explanation_ques_2_1,explanation_ques_3_1,explanation_ques_4_1,explanation_ques_5_1,explanation_ques_6_1,explanation_ques_7_1,explanation_ques_8_1,avg_explanation,explanation_time_First Click,explanation_time_Last Click,explanation_time_Page Submit,explanation_time_Click Count,PROLIFIC_PID,cohort_num,DeviceIdentifier,training_counter,game_counter
17-11-20 0:46,17-11-20 1:00,IP Address,217.39.72.179,100,807,TRUE,17-11-20 1:00,R_2ARvT4Ex5JFurRs,,,,,50.73739624,-3.470794678,anonymous,EN,0.9,s,4.817,4.817,6.799,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5f41301d33e86508afed6917,Female,,21,3.113,4.452,6.089,3,0,0,24.335,0,0,0,21.024,0,26.112,26.505,28.12,2,5.346,25.576,27.643,4,0,1,0,1,0,2,0,1,18.189,38.215,53.551,5,0,1,1,1,0,0,0,2,11.508,22.298,24.883,3,1,0,0,0,2,0,2,0,7.919,22.28,25.435,5,1,1,1,0,1,0,1,0,e,1.613,2.407,4.122,2,0,0,14.035,0,4.034,36.137,37.611,14,1,0,0,1,1,3,1,0,7.895,34.21,34.874,15,1,4,1,0,0,0,1,2,4.778,29.095,31.401,15,0,1,0,1,2,2,1,1,2.541,24.233,27.649,13,0,0,0,1,2,4,2,0,8.009,40.315,41.647,14,2,1,2,1,0,1,1,0,6.653,47.653,54.981,15,0,2,1,1,0,3,1,1,5.613,38.151,40.056,15,0,1,1,1,2,1,1,1,4.103,25.703,28.625,13,3,2,3,1,0,0,0,0,3.838,37.245,39.008,15,1,1,0,2,1,1,1,1,12.208,53.614,55.582,12,0,1,0,0,2,3,0,1,14,10,9,14,6,10.6,9.461,26.578,27.509,5,1,2,1,1,2,1,1,1,1.25,3.062,21.579,22.484,8,3,2,3,2,2,2,4,4,2.75,4.289,22.814,23.519,8,,3,,5,11
17-11-20 0:42,17-11-20 1:01,IP Address,86.30.59.0,100,1126,TRUE,17-11-20 1:01,R_3Piz25OPFB0d3Ed,,,,,51.563797,0.523193359,anonymous,EN,0.9,s,7.069,7.069,9.554,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5b3344d76d601d0001d623ee,Female,,27,24.454,25.157,28.18,2,0,0,49.176,0,0,0,34.424,0,0,0,161.13,0,8.307,16.021,17.554,4,0,1,0,1,0,2,0,1,6.82,22.148,30.827,5,0,1,1,1,0,0,0,2,10.629,35.461,37.712,4,1,0,0,0,2,0,2,0,7.625,19.959,26.853,5,1,1,1,0,1,0,1,0,e,2.187,2.187,4.463,1,0,0,16.344,0,6.716,49.153,60.765,18,1,0,0,1,2,3,1,1,5.535,28.463,30.191,13,0,4,1,0,0,0,1,2,12.375,42.125,44.034,16,0,1,0,1,2,3,1,1,13.105,44.906,48.263,14,0,0,0,1,2,4,2,0,3.609,47.186,53.375,19,2,1,2,1,1,1,1,0,11.118,51.352,71.581,17,0,2,1,1,0,3,1,1,6.276,72.05,76.285,17,0,1,1,1,2,1,2,1,7.199,36.699,39.06,16,3,2,3,1,0,0,0,0,4.177,42.254,55.875,17,1,1,1,2,1,1,1,1,5.047,44.571,44.927,14,0,1,0,2,2,2,0,1,16,8,2,21,4,10.2,4.491,16.02,16.857,5,3,2,1,1,2,1,3,2,1.875,3.995,28.149,28.97,9,5,4,5,5,5,4,2,5,4.375,3.601,26.964,27.721,12,,3,,5,11
17-11-20 0:43,17-11-20 1:02,IP Address,86.168.23.167,100,1132,TRUE,17-11-20 1:02,R_3Dd2FE3SOmjardd,,,,,51.5749054,0.086898804,anonymous,EN,0.9,s,7.107,7.107,11.882,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ded5708789cb34034edeca0,Female,,18,2.978,9.028,9.844,4,0,0,79.353,0,0,0,24.821,0,0,0,9.393,0,3.558,43.223,44.566,10,0,1,0,1,0,2,0,0,21.129,50.074,52.816,9,0,1,1,1,0,0,0,2,6.679,24.122,26.821,4,1,0,0,0,2,0,2,0,18.145,87.183,88.256,29,1,1,1,0,1,0,1,0,e,2.781,2.781,5.768,1,2.751,2.751,4.229,1,6.172,37.614,38.827,7,1,0,0,0,2,3,1,0,4.145,26.391,27.446,8,0,4,1,0,0,0,0,2,12.602,74.249,75.7,14,0,1,0,1,1,3,1,1,6.959,43.429,46.081,9,0,0,0,1,2,4,2,0,65.756,98.882,99.954,11,2,1,2,1,1,1,1,1,23.583,70.922,72.314,11,0,2,1,1,0,3,1,1,3.725,57.161,61.321,10,0,1,1,1,2,1,2,0,15.708,60.54,61.299,19,3,2,3,1,0,0,0,0,12.705,35.097,36.099,10,1,1,1,2,1,1,1,1,9.86,66.875,67.649,11,0,1,0,2,2,3,0,1,15,12,6,14,16,12.6,3.909,20.401,21.401,9,4,3,3,4,3,3,4,3,3.375,1.559,23.828,24.851,15,4,4,3,3,3,3,3,3,3.25,1.524,19.404,20.599,17,,3,,5,11
17-11-20 0:45,17-11-20 1:02,IP Address,84.71.98.50,100,1003,TRUE,17-11-20 1:02,R_2D5e9xUxMN1kwDq,,,,,51.55679321,0.216598511,anonymous,EN,0.7,s,4.51,4.51,8.028,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5fa9e2316bfb91296859bc0c,Male,,21,2.81,8.364,9.339,4,1.455,17.789,18.927,2,7.886,7.886,9.09,1,1.906,1.906,3.048,1,9.968,33.442,35.522,10,0,1,0,1,0,2,0,1,1.278,35.281,36.228,10,0,2,1,1,0,0,0,2,7.496,40.323,42.226,11,1,0,0,0,2,0,2,0,9.247,59.376,60.452,15,1,1,1,0,1,0,1,0,e,2.45,2.45,5.184,1,2.341,2.341,3.497,1,0.017,48.986,50.149,17,1,0,0,1,2,3,1,1,8.448,39.874,40.51,11,0,4,1,0,0,0,1,2,0.014,66.321,67.337,15,0,1,0,1,2,3,1,1,5.483,38.821,39.754,10,0,0,0,1,2,4,2,0,1.491,70.371,71.554,21,2,1,2,1,1,1,1,0,13.999,62.251,69.49,14,0,2,1,1,0,3,1,1,1.29,48.766,50.802,21,0,1,1,1,2,1,2,1,3.515,38.889,40.494,11,3,2,3,1,0,0,0,0,9.067,63.076,65.572,22,1,1,1,2,1,1,1,1,5.409,48.248,50.511,12,0,1,0,2,2,3,0,1,14,10,5,3,2,6.8,4.975,30.169,30.666,12,5,5,3,3,4,2,3,5,3.75,3.408,40.47,41.673,19,4,4,3,3,4,4,4,3,3.625,2.722,20.215,21.202,21,,3,,5,11
17-11-20 0:42,17-11-20 1:03,IP Address,80.5.138.249,100,1262,TRUE,17-11-20 1:03,R_2P6hsGJFsy8dhHg,,,,,51.50259399,-0.065994263,anonymous,EN,0.9,s,2.788,2.788,6.967,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5aec7ef88db5b00001ada1b9,Female,,28,1.556,3.224,5.255,2,0,0,61.212,0,0,0,75.952,0,0,0,28.437,0,20.311,111.762,143.626,9,0,1,0,1,0,2,0,1,31.446,38.059,45.113,4,0,1,1,1,0,0,0,2,18.533,21.711,27.254,3,1,0,0,0,2,0,2,0,30.389,40.651,41.469,8,1,1,1,0,1,0,1,0,e,1.995,1.995,4.098,1,0,0,11.804,0,6.663,66.345,70.614,10,1,0,0,1,2,3,1,0,7.395,58.913,68.49,15,1,4,1,0,0,0,1,2,20.665,47.359,61.398,7,0,1,0,1,2,3,1,1,7.963,35.924,51.452,14,0,0,0,2,2,4,2,0,11.826,58.512,62.942,16,2,1,2,1,1,1,1,0,12.963,51.447,60.509,16,0,2,1,1,0,3,1,1,21.642,77.752,81.268,8,0,1,1,1,2,1,2,1,40,62.859,63.408,5,3,2,3,1,0,0,0,0,21.259,77.224,78.2,17,1,1,1,2,1,1,1,1,21.195,44.198,45.431,5,0,1,0,2,2,3,0,1,18,1,1,17,5,8.4,2.915,16.876,17.983,7,4,4,2,3,4,3,2,3,3.125,6.048,29.337,30.048,10,5,4,5,5,5,5,5,5,4.875,4.687,25.773,26.581,9,,3,,5,11
17-11-20 0:42,17-11-20 1:07,IP Address,2.25.4.9,100,1442,TRUE,17-11-20 1:07,R_1megMigQFrLeGOj,,,,,52.84989929,1.354705811,anonymous,EN,0.9,s,8.198,8.198,15.947,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5f0e148047c3cd126ab642f5,Female,,18,3.193,9.787,10.867,4,28.227,98.589,100.489,4,73.649,73.649,74.574,1,2.52,47.461,49.454,5,9.856,36.005,36.966,9,0,1,0,1,0,2,0,1,13.725,43.048,44.515,8,0,1,1,1,0,0,0,2,8.968,52.485,53.576,8,1,0,0,0,2,0,2,0,4.585,104.693,105.572,14,1,1,1,0,1,0,1,0,e,2.173,2.173,5.662,1,2.222,2.222,13.154,1,2.956,30.403,33.811,10,1,0,0,1,2,3,1,0,6.642,53.88,56.683,18,1,4,1,0,0,0,1,2,17.487,68.089,68.818,11,0,1,0,1,2,3,1,1,8.927,66.991,67.957,8,0,0,0,1,2,4,2,0,15.702,72.472,76.911,10,2,1,1,1,1,1,1,0,14.498,59.682,60.768,8,0,2,1,1,0,3,1,0,7.859,63.647,64.645,9,0,1,1,0,2,1,2,0,17.002,39.68,44.665,7,3,2,3,1,0,0,0,0,10.267,59.352,64.101,14,1,1,1,2,1,1,1,1,16.059,59.124,61.84,12,0,0,0,2,2,3,0,1,13,7,6,15,1,8.4,8.823,34.198,35.298,11,4,3,2,1,4,2,1,2,2.375,8.598,46.422,47.366,15,2,3,4,3,4,3,4,4,3.375,3.055,47.45,48.145,16,,3,,5,11
17-11-20 0:49,17-11-20 1:07,IP Address,31.205.101.113,100,1116,TRUE,17-11-20 1:07,R_3nDFRbI4ImpzJs3,,,,,50.80070496,-1.080596924,anonymous,EN,0.9,s,5.502,5.502,7.501,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5f03992920393a2d8ee82ca2,Male,,21,2.174,3.173,4.636,2,0,0,41.627,0,0,0,24.194,0,0,0,17.295,0,16.577,60.689,66.944,9,0,1,0,1,0,2,0,1,5.659,39.091,44.331,12,0,1,1,1,0,0,0,2,1.913,19.107,20.123,9,1,0,0,0,2,0,2,0,2.313,31.902,32.742,10,1,1,1,0,1,0,1,0,e,2.206,2.206,3.167,1,0,0,11.167,0,2.307,70.852,71.956,16,1,0,0,1,2,3,1,1,2.267,39.834,47.954,14,1,4,1,0,0,0,1,2,7.98,39.375,48.753,17,1,0,1,1,2,3,0,1,2.643,27.499,34.661,15,0,0,0,0,2,4,2,1,2.958,79.134,82.162,39,2,1,2,1,1,1,1,0,3.533,39.735,40.364,18,0,2,1,1,0,3,1,1,5.105,82.797,83.8,17,0,1,1,1,2,1,2,1,6.602,52.827,63.756,14,3,2,3,1,0,0,0,0,2.594,34.592,51.91,19,1,1,1,2,1,1,1,1,5.152,87.969,92.583,25,0,1,0,1,2,3,0,1,14,8,8,15,5,10,4.844,31.204,32.298,5,4,3,3,2,3,2,3,2,2.75,6.617,31.937,32.7,8,4,4,4,4,4,4,4,4,4,3.416,22.512,22.852,10,,3,,5,11
17-11-20 0:49,17-11-20 1:08,IP Address,82.33.191.243,100,1130,TRUE,17-11-20 1:08,R_2tFldpAc5Z575gU,,,,,51.40029907,0.529098511,anonymous,EN,0.9,s,5.812,5.812,8.345,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,557d8066fdf99b4d58356037,Male,,24,2.026,3.036,9.323,3,0,0,30.477,0,0,0,30.41,0,0,0,25.575,0,20.856,42.422,49.339,6,0,1,0,1,0,2,0,1,24.937,88.967,92.425,10,0,1,1,1,0,0,0,2,18.336,42.206,43.685,5,1,0,0,0,2,0,2,0,16.034,33.006,34.241,7,1,1,1,0,1,0,1,0,e,2.24,2.24,6.728,1,0,0,1.867,0,4.007,60.433,63.17,18,1,0,0,1,2,3,1,1,19.853,60.651,61.596,7,1,4,1,0,0,0,1,2,22.497,47.047,48.186,8,0,1,0,1,2,3,1,1,36.692,64.628,66.891,6,0,0,0,1,2,4,2,0,34.575,88.299,91.391,9,2,1,2,1,1,1,1,0,35.651,64.982,73.646,11,0,2,1,1,0,3,1,1,48.789,82.372,86.335,11,0,1,1,1,2,1,2,1,15.508,33.113,43.324,6,3,2,3,1,0,0,0,0,30.776,57.635,63.085,11,1,1,1,2,1,1,1,1,26.9,41.879,43.386,6,0,1,0,2,2,3,0,1,10,4,1,11,1,5.4,2.625,22.804,23.788,17,4,4,4,4,4,4,4,3,3.875,2.311,18.627,19.408,12,3,3,3,3,2,3,3,3,2.875,2.846,18.434,19.072,9,,3,,5,11
17-11-20 0:53,17-11-20 1:10,IP Address,86.164.143.113,100,1013,TRUE,17-11-20 1:10,R_DAeZvINEmTTZ19n,,,,,50.75190735,-1.870605469,anonymous,EN,0.9,s,5.834,5.834,7.529,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5c4c488a620ba700010c054d,Female,,20,2.463,5.241,7.548,3,23.646,71.062,72.083,2,30.665,30.665,31.431,1,33.408,33.408,35.461,1,7.729,28.57,32.237,8,0,1,0,1,0,2,0,1,14.471,52.365,53.998,9,0,1,1,2,0,0,0,1,7.908,18.693,20.788,5,2,0,0,0,2,0,2,0,8.378,21.663,22.585,7,1,1,1,0,1,0,1,0,e,2.88,2.88,6.805,1,2.07,2.07,3.242,1,11.862,68.542,69.956,14,1,0,0,1,2,3,1,1,15.751,75.142,75.939,14,1,4,0,0,0,0,1,2,15.468,78.426,79.072,14,0,1,0,1,2,3,1,1,15.415,37.164,42.704,6,0,0,0,0,2,4,2,1,11.046,32.61,33.842,10,2,1,2,1,1,1,1,1,8.397,50.385,51.09,11,1,2,1,1,0,3,1,1,32.253,49.698,51.062,9,0,1,1,1,2,1,2,1,13.228,43.706,44.477,8,4,2,3,1,0,0,0,0,10.593,29.024,29.673,10,1,1,1,2,1,1,1,1,11.688,28.676,29.254,9,1,1,0,2,2,3,0,1,21,6,6,21,1,11,3.06,23.214,24.353,9,3,2,3,3,3,2,2,3,2.625,2.314,29.739,30.63,17,4,5,5,4,5,4,4,3,4.25,6.224,33.157,34.317,14,,3,,5,11
17-11-20 0:52,17-11-20 1:11,IP Address,86.159.208.109,100,1139,TRUE,17-11-20 1:11,R_UXCEd25BbAb21t7,,,,,51.66419983,-3.889205933,anonymous,EN,0.9,s,10.492,10.492,12.864,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5dd50a444412f1000e724c1d,Female,,43,1.523,2.409,5.251,2,0,0,40.326,0,0,0,21.229,0,0,0,19.745,0,32.771,65.425,74.9,5,0,1,0,1,0,2,0,1,8.183,29.73,44.367,5,0,1,1,1,0,0,0,2,9.922,74.967,82.054,9,1,0,0,0,2,0,2,0,15.923,35.743,59.245,5,1,1,1,0,1,0,1,0,e,3.397,3.397,9.235,1,0,0,25.555,0,3.548,28.086,30.356,12,1,0,0,0,2,3,1,0,5.372,38.822,41.471,10,0,4,1,0,0,0,0,2,13.585,56.31,59.041,15,0,1,0,1,2,3,0,1,4.769,28.344,30.851,13,0,0,0,1,2,4,2,0,5.071,79.441,81.937,27,2,1,2,1,1,1,1,0,5.532,66.41,68.845,15,0,2,1,1,0,3,1,1,6.09,68.331,71.024,17,0,1,1,1,2,1,2,0,9.096,42.798,45.37,11,3,0,3,2,0,0,0,0,8.783,84.882,87.74,22,1,1,1,2,1,1,1,1,7.956,57.304,61.086,14,0,1,0,1,2,3,0,1,10,6,7,21,5,9.8,5.154,27.424,28.701,7,5,4,4,3,4,3,3,2,3.5,2.683,29.731,31.435,12,5,4,3,4,4,3,3,4,3.75,2.999,24.416,25.393,10,,3,,5,11
