StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,bot_1_1,bot_1_time_First Click,bot_1_time_Last Click,bot_1_time_Page Submit,bot_1_time_Click Count,consent1,consent2,Prolific_ver,gender,gender_9_TEXT,nativeness,pre_time_First Click,pre_time_Last Click,pre_time_Page Submit,pre_time_Click Count,Task_Desc_time_First Click,Task_Desc_time_Last Click,Task_Desc_time_Page Submit,Task_Desc_time_Click Count,comp_assi_time_First Click,comp_assi_time_Last Click,comp_assi_time_Page Submit,comp_assi_time_Click Count,GE_Comp_Assi_time_First Click,GE_Comp_Assi_time_Last Click,GE_Comp_Assi_time_Page Submit,GE_Comp_Assi_time_Click Count,Q1026_First Click,Q1026_Last Click,Q1026_Page Submit,Q1026_Click Count,Training_C24_Q1_time_First Click,Training_C24_Q1_time_Last Click,Training_C24_Q1_time_Page Submit,Training_C24_Q1_time_Click Count,Training_C24_Q1_1_1,Training_C24_Q1_1_2,Training_C24_Q1_1_3,Training_C24_Q1_1_4,Training_C24_Q1_1_5,Training_C24_Q1_1_6,Training_C24_Q1_1_7,Training_C24_Q1_1_8,Training_C24_Q2_time_First Click,Training_C24_Q2_time_Last Click,Training_C24_Q2_time_Page Submit,Training_C24_Q2_time_Click Count,Training_C24_Q2_1_1,Training_C24_Q2_1_2,Training_C24_Q2_1_3,Training_C24_Q2_1_4,Training_C24_Q2_1_5,Training_C24_Q2_1_6,Training_C24_Q2_1_7,Training_C24_Q2_1_8,Training_C24_Q3_time_First Click,Training_C24_Q3_time_Last Click,Training_C24_Q3_time_Page Submit,Training_C24_Q3_time_Click Count,Training_C24_Q3_1_1,Training_C24_Q3_1_2,Training_C24_Q3_1_3,Training_C24_Q3_1_4,Training_C24_Q3_1_5,Training_C24_Q3_1_6,Training_C24_Q3_1_7,Training_C24_Q3_1_8,Training_C24_Q4_time_First Click,Training_C24_Q4_time_Last Click,Training_C24_Q4_time_Page Submit,Training_C24_Q4_time_Click Count,Training_C24_Q4_1_1,Training_C24_Q4_1_2,Training_C24_Q4_1_16,Training_C24_Q4_1_17,Training_C24_Q4_1_18,Training_C24_Q4_1_19,Training_C24_Q4_1_20,Training_C24_Q4_1_21,bot_1_2,bot_2_time_First Click,bot_2_time_Last Click,bot_2_time_Page Submit,bot_2_time_Click Count,game_intro_time_First Click,game_intro_time_Last Click,game_intro_time_Page Submit,game_intro_time_Click Count,Game_C24_Q1_time_First Click,Game_C24_Q1_time_Last Click,Game_C24_Q1_time_Page Submit,Game_C24_Q1_time_Click Count,Game_C24_Q1_1_1,Game_C24_Q1_1_2,Game_C24_Q1_1_3,Game_C24_Q1_1_4,Game_C24_Q1_1_5,Game_C24_Q1_1_6,Game_C24_Q1_1_7,Game_C24_Q1_1_8,Game_C24_Q2_time_First Click,Game_C24_Q2_time_Last Click,Game_C24_Q2_time_Page Submit,Game_C24_Q2_time_Click Count,Game_C24_Q2_1_1,Game_C24_Q2_1_2,Game_C24_Q2_1_3,Game_C24_Q2_1_4,Game_C24_Q2_1_5,Game_C24_Q2_1_6,Game_C24_Q2_1_7,Game_C24_Q2_1_8,Game_C24_Q3_time_First Click,Game_C24_Q3_time_Last Click,Game_C24_Q3_time_Page Submit,Game_C24_Q3_time_Click Count,Game_C24_Q3_1_1,Game_C24_Q3_1_2,Game_C24_Q3_1_3,Game_C24_Q3_1_4,Game_C24_Q3_1_5,Game_C24_Q3_1_6,Game_C24_Q3_1_7,Game_C24_Q3_1_8,Game_C24_Q4_time_First Click,Game_C24_Q4_time_Last Click,Game_C24_Q4_time_Page Submit,Game_C24_Q4_time_Click Count,Game_C24_Q4_1_1,Game_C24_Q4_1_2,Game_C24_Q4_1_3,Game_C24_Q4_1_4,Game_C24_Q4_1_5,Game_C24_Q4_1_6,Game_C24_Q4_1_7,Game_C24_Q4_1_8,Game_C24_Q5_time_First Click,Game_C24_Q5_time_Last Click,Game_C24_Q5_time_Page Submit,Game_C24_Q5_time_Click Count,Game_C24_Q5_1_1,Game_C24_Q5_1_2,Game_C24_Q5_1_3,Game_C24_Q5_1_4,Game_C24_Q5_1_5,Game_C24_Q5_1_6,Game_C24_Q5_1_7,Game_C24_Q5_1_8,Game_C24_Q6_time_First Click,Game_C24_Q6_time_Last Click,Game_C24_Q6_time_Page Submit,Game_C24_Q6_time_Click Count,Game_C24_Q6_1_1,Game_C24_Q6_1_2,Game_C24_Q6_1_3,Game_C24_Q6_1_4,Game_C24_Q6_1_5,Game_C24_Q6_1_6,Game_C24_Q6_1_7,Game_C24_Q6_1_8,Game_C24_Q7_time_First Click,Game_C24_Q7_time_Last Click,Game_C24_Q7_time_Page Submit,Game_C24_Q7_time_Click Count,Game_C24_Q7_1_1,Game_C24_Q7_1_2,Game_C24_Q7_1_3,Game_C24_Q7_1_4,Game_C24_Q7_1_5,Game_C24_Q7_1_6,Game_C24_Q7_1_7,Game_C24_Q7_1_8,Game_C24_Q8_time_First Click,Game_C24_Q8_time_Last Click,Game_C24_Q8_time_Page Submit,Game_C24_Q8_time_Click Count,Game_C24_Q8_1_1,Game_C24_Q8_1_2,Game_C24_Q8_1_3,Game_C24_Q8_1_4,Game_C24_Q8_1_5,Game_C24_Q8_1_6,Game_C24_Q8_1_7,Game_C24_Q8_1_8,Game_C24_Q9_time_First Click,Game_C24_Q9_time_Last Click,Game_C24_Q9_time_Page Submit,Game_C24_Q9_time_Click Count,Game_C24_Q9_1_1,Game_C24_Q9_1_2,Game_C24_Q9_1_3,Game_C24_Q9_1_4,Game_C24_Q9_1_5,Game_C24_Q9_1_6,Game_C24_Q9_1_7,Game_C24_Q9_1_8,Cohort24_Q10_time_First Click,Cohort24_Q10_time_Last Click,Cohort24_Q10_time_Page Submit,Cohort24_Q10_time_Click Count,Cohort24_Q10_1_1,Cohort24_Q10_1_2,Cohort24_Q10_1_3,Cohort24_Q10_1_4,Cohort24_Q10_1_5,Cohort24_Q10_1_6,Cohort24_Q10_1_7,Cohort24_Q10_1_8,task_load_1_1,task_load_2_1,task_load_3_1,task_load_4_1,task_load_5_1,avg_task_load,task_load_time_First Click,task_load_time_Last Click,task_load_time_Page Submit,task_load_time_Click Count,trust_1_1,trust_2_1,trust_3_1,trust_4_1,trust_5_1,trust_6_1,trust_7_1,trust_8_1,avg_trust,trust_time_First Click,trust_time_Last Click,trust_time_Page Submit,trust_time_Click Count,explanation_ques_1_1,explanation_ques_2_1,explanation_ques_3_1,explanation_ques_4_1,explanation_ques_5_1,explanation_ques_6_1,explanation_ques_7_1,explanation_ques_8_1,avg_explanation,explanation_time_First Click,explanation_time_Last Click,explanation_time_Page Submit,explanation_time_Click Count,PROLIFIC_PID,cohort_num,DeviceIdentifier,training_counter,game_counter
16-11-20 23:04,16-11-20 23:23,IP Address,51.52.139.130,100,1122,TRUE,16-11-20 23:23,R_2B4l7m4NFm4wz2g,,,,,52.18940735,-2.220001221,anonymous,EN,0.9,s,3.098,3.098,6.022,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5f4f75e0a8de8e02d2c8c8c9,Female,,41,1.988,5.802,8.798,3,0,0,63.199,0,3.441,8.429,40.768,3,0,0,49.218,0,0,0,7.32,0,8.666,27.881,41.029,4,0,1,0,1,0,2,0,1,22.746,134.596,142.614,14,2,1,1,1,0,1,0,2,5.621,13.625,24.837,3,1,0,0,0,2,0,2,0,15.617,41.842,50.397,4,1,0,1,0,1,0,1,0,e,1.971,1.971,4.948,1,0,0,4.664,0,8.286,44.633,53.238,6,1,0,0,1,1,2,1,0,29.239,45.532,48.013,4,0,2,1,0,0,0,1,0,10.244,51.827,64.559,9,0,1,0,1,2,3,1,0,20.259,40.207,49.4,4,0,2,0,0,2,4,0,0,13.724,49.702,52.339,7,2,1,1,1,1,1,0,0,32.462,32.462,33.063,1,0,0,0,0,0,0,0,0,16.919,38.407,48.554,6,1,0,0,1,1,1,1,1,13.006,36.167,43.469,5,2,1,1,1,0,0,0,0,21.929,32.004,59.3,4,2,0,0,2,0,1,0,0,20.63,36.495,39.203,3,0,1,0,0,0,1,0,0,21,10,20,14,7,14.4,4.166,21.223,22.801,5,3,2,2,1,2,2,2,1,1.875,4.796,23.839,24.993,8,3,3,3,3,3,3,3,3,3,4.317,18.751,21.129,9,,4,,5,11
16-11-20 23:10,16-11-20 23:28,IP Address,81.178.137.91,100,1082,TRUE,16-11-20 23:28,R_2wNxI12bSvCq2qP,,,,,50.40550232,-3.698196411,anonymous,EN,0.9,s,1.512,7.241,7.921,2,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5a3e76517aebf700011527a4,Female,,20,1.459,3.902,6.419,3,45.714,46.607,47.077,2,1.309,19.184,19.928,2,1.066,9.673,10.181,3,0.908,1.85,3.096,2,1.337,79.775,80.377,16,0,1,0,1,0,2,0,1,2.804,22.149,24.819,9,0,1,1,1,0,0,0,2,5.075,17.548,19.233,6,1,0,0,0,2,0,2,0,6.48,18.1,20.573,7,1,1,1,0,1,0,1,0,e,1.677,5.443,5.986,2,2.783,11.263,12.875,4,10.457,39.551,40.705,12,0,0,0,0,2,2,2,1,2.094,69.819,72.854,18,1,3,1,0,0,0,1,2,3.974,55.195,56.189,17,0,1,0,1,1,3,0,0,4.999,38.39,39.279,11,0,0,0,1,2,4,2,0,5.353,73.793,75.951,18,1,1,2,0,1,1,0,0,12.514,93.366,95.163,15,1,1,1,1,0,1,1,1,3.931,89.598,97.393,25,0,1,1,1,2,1,2,1,3.529,79.905,80.815,13,2,1,3,1,0,0,0,0,10.167,69.08,71.008,17,1,1,1,1,1,1,0,0,0.259,62.71,63.431,14,0,1,0,1,1,2,0,1,18,10,8,12,17,13,1.724,29.449,30.435,11,3,4,3,4,3,4,2,3,3.25,0.571,14.01,14.816,15,4,3,3,2,4,3,3,3,3.125,0.6,11.573,12.883,15,,4,,5,11
16-11-20 23:07,16-11-20 23:31,IP Address,188.31.140.25,100,1419,TRUE,16-11-20 23:31,R_3qrMjCkl2nmRqZ8,,,,,53.76060486,-0.373397827,anonymous,EN,0.9,s,8.19,8.19,10.96,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5b0c82406ff4ee0001db28d1,Female,,34,2.203,2.988,5.406,2,57.887,61.424,62.073,2,12.232,74.408,75.033,3,68.889,68.889,69.593,1,0,0,14.538,0,3.854,45.484,46.4,10,0,1,0,1,0,2,0,1,4.633,35.686,41.916,10,0,1,1,1,0,0,0,2,5.048,46.716,48.608,15,1,0,0,0,2,0,2,0,4.297,24.371,27.772,14,1,1,1,0,1,0,1,0,e,1.754,1.754,4.611,1,0,0,11.509,0,2.832,61.8,70.001,31,1,0,0,1,1,2,1,0,3.203,72.522,74.146,40,1,2,1,1,0,0,1,2,2.377,55.585,57.21,31,0,1,0,1,2,3,0,0,2.964,49.6,54.133,32,0,0,0,0,2,4,2,0,6.128,88.79,90.55,32,2,1,1,1,1,1,1,0,14.625,56.334,57.506,13,1,2,1,1,0,0,1,1,2.616,163.929,166.485,44,0,1,1,1,2,1,2,1,5.121,71.036,76.541,41,3,1,2,1,0,0,0,0,4.808,90.612,91.679,52,1,1,1,2,1,0,1,1,4.788,59.568,63.09,40,0,1,0,1,1,3,0,1,15,6,14,18,13,13.2,6.194,24.301,26.226,7,1,2,1,1,5,2,2,2,2,2.5,19.783,20.779,8,4,2,2,2,2,2,2,3,2.375,3.847,29.507,30.163,11,,4,,5,11
16-11-20 23:12,16-11-20 23:31,IP Address,77.97.165.41,100,1122,TRUE,16-11-20 23:31,R_2qfp4p4l50iqnNL,,,,,52.58790588,-1.812805176,anonymous,EN,0.9,s,4.229,4.229,6.974,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5b1fc2ef4c72120001f249b3,Female,,27,2.518,3.766,6.07,2,19.571,75.499,78.625,15,4.943,25.895,33.893,8,3.203,18.436,52.195,9,2.565,12.389,15.323,9,14.174,38.133,39.032,9,0,1,0,1,0,2,0,1,2.68,21.106,21.789,9,0,1,1,1,0,0,0,2,9.189,47.116,48.123,8,1,0,0,0,2,0,2,0,3.451,20.666,22.335,10,1,1,1,0,1,0,1,0,e,3.014,3.014,5.708,1,13.975,20.375,21.23,10,2.545,48.537,50.335,15,1,0,0,1,1,3,1,1,3.628,50.308,51.203,11,1,3,0,0,0,0,1,2,5.147,27.714,38.21,12,0,1,0,1,2,3,0,0,2.725,33.27,40.937,12,0,0,0,0,2,4,2,0,4.654,53.901,58.674,16,2,1,2,1,1,1,1,0,4.224,54.009,54.749,18,0,2,0,1,0,1,1,1,2.284,70.65,71.298,39,0,1,0,0,1,1,2,1,3.399,45.19,53.217,15,3,1,3,1,0,0,0,0,3.149,48.356,58.184,18,1,1,1,2,1,1,1,0,4.227,42.892,48.039,12,0,1,0,1,1,3,0,0,14,13,10,15,5,11.4,3.637,14.87,15.277,6,3,2,3,2,3,2,3,3,2.625,3.77,33.234,34.561,11,4,4,4,4,3,3,4,3,3.625,2.874,38.41,39.744,12,,4,,5,11
16-11-20 23:09,16-11-20 23:32,IP Address,51.219.101.34,100,1341,TRUE,16-11-20 23:32,R_vqSFOQJocVdxx9n,,,,,51.49639893,-0.122406006,anonymous,EN,0.9,s,1.863,1.863,6.328,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5d0a52747c51100001caa317,Female,,42,2.248,4.024,6.681,3,0,0,78.592,0,0,0,38.912,0,0,0,23.208,0,0,0,39.917,0,34.131,77.675,80.649,11,0,1,0,1,0,2,0,1,4.119,33.231,36.083,10,0,1,1,2,0,0,0,1,11.711,73.585,79.229,20,0,0,0,0,2,0,3,0,5.661,66.142,66.601,11,1,1,1,0,1,0,1,0,e,1.51,1.51,5.561,1,0,0,3.713,0,2.443,52.018,58.577,23,1,0,0,1,2,3,1,0,4.122,51.544,60.67,21,1,4,1,0,0,0,1,2,4.006,66.931,86.535,20,0,1,0,1,2,3,1,0,4.098,45.999,48.282,15,0,0,0,0,2,4,2,1,4.203,58.403,73.304,20,2,1,2,1,1,1,1,0,9.331,67.755,69.809,16,0,1,2,1,0,0,1,0,9.736,57.479,62.9,12,0,0,0,2,2,0,2,0,5.451,109.019,111.506,18,3,2,3,1,0,0,0,0,3.638,44.582,51.952,17,1,0,1,1,1,1,1,0,3.14,35.036,47.081,12,0,1,0,1,2,2,0,0,21,5,10,21,6,12.6,4.732,41.644,42.466,7,3,3,3,2,3,2,2,3,2.625,7.734,33.166,33.545,11,4,3,3,4,3,4,4,3,3.5,4.534,36.854,37.621,8,,4,,5,11
16-11-20 23:15,16-11-20 23:34,IP Address,165.225.81.21,100,1139,TRUE,16-11-20 23:34,R_1It7fGy1LmxGlQQ,,,,,51.54660034,-0.123199463,anonymous,EN,0.9,s,5.183,5.183,6.844,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ecd81e2ea4a250f3814bef0,Female,,25,1.941,2.898,5.202,2,0,0,44.017,0,0,0,34.7,0,0,0,31.802,0,0,0,9.499,0,25.796,40.483,47.575,4,0,1,0,1,0,2,0,1,14.963,38.276,39.747,5,0,1,1,1,0,0,0,2,5.346,20.179,22.834,3,1,0,0,0,2,0,2,0,7.406,33.899,36.165,5,1,1,1,0,1,0,1,0,e,2.408,2.408,7.293,1,0,0,3.554,0,7.575,60.969,64.024,8,1,0,0,1,1,1,1,0,5.717,77.719,81.801,15,1,3,1,1,0,0,1,1,4.273,35.865,62.558,16,0,1,0,1,2,3,1,0,6.062,62.05,64.657,13,0,0,0,1,2,4,2,0,12.893,55.239,57.838,14,2,0,2,1,1,0,1,0,7.521,54.693,57.518,10,0,1,0,1,0,1,1,1,4.45,63.657,66.409,16,0,0,2,1,2,1,2,1,4.384,64.564,67.215,15,3,1,3,1,0,0,0,0,4.539,68.605,70.501,14,1,0,1,2,1,1,1,0,9.198,79.114,82.483,15,0,1,0,1,2,3,0,1,20,1,5,19,1,9.2,3.823,21.173,22.276,6,2,1,1,1,2,2,2,1,1.5,4.254,28.605,29.504,8,2,2,2,2,2,1,1,4,2,4.39,37.248,39.302,9,,4,,5,11
16-11-20 23:10,16-11-20 23:34,IP Address,77.102.87.60,100,1472,TRUE,16-11-20 23:34,R_3lAkntvKNFQIRdI,,,,,52.49940491,-2.018798828,anonymous,EN,0.9,s,5.276,5.276,7.423,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5d04134bbdeaa5001865e8a3,Female,,21,2.634,3.647,5.873,2,0,0,61.262,0,0,0,64.232,0,0,0,64.748,0,0,0,28.993,0,12.317,54.838,57.985,10,0,1,0,1,0,2,0,1,4.034,27.34,29.316,9,0,1,1,1,0,0,0,2,2.974,25.763,28.659,8,1,0,0,0,2,0,2,0,10.851,36.681,42.94,10,1,1,1,0,1,0,1,0,e,3.581,3.581,4.93,1,0,0,18.818,0,16.378,60.166,81.228,18,1,0,0,1,2,3,1,1,6.08,50.979,63.491,19,1,4,1,0,0,0,1,2,5.316,92.233,93.365,21,0,1,0,1,2,3,1,1,3.426,89.184,91.229,26,0,0,0,1,2,4,2,0,4.176,103.405,114.54,31,2,1,2,1,1,1,1,0,8.001,82.367,108.235,19,0,2,1,1,0,3,1,1,4.674,63.018,65.549,21,0,1,1,1,2,1,2,1,6.518,76.123,87.196,25,3,1,3,1,0,0,0,0,4.394,103.396,124.913,35,1,0,1,2,1,1,1,0,5.079,52.779,70.585,17,0,1,0,2,2,3,0,1,15,10,7,19,4,11,3.469,15.276,16.752,5,2,2,2,1,3,3,1,1,1.875,4.618,24.782,25.655,8,5,5,4,4,3,3,2,4,3.75,5.24,25.105,25.833,9,,4,,5,11
16-11-20 23:02,16-11-20 23:35,IP Address,2.26.209.240,100,1937,TRUE,16-11-20 23:35,R_2Bi0fZtOyDeRt3g,,,,,50.90409851,-3.296401978,anonymous,EN,0.9,s,4.161,4.161,10.792,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5e4aa396b2c8eb000cc39e56,Female,,47,2.47,3.1,6.91,2,0,0,90.001,0,0,0,80.3,0,0,0,52.044,0,0,0,16.643,0,5.701,50.497,58.197,10,0,1,0,1,0,2,0,1,7.623,62.07,67.89,14,0,1,1,1,0,0,0,2,5.954,53.855,75.997,10,1,0,0,0,2,0,2,0,4.302,43.103,54.118,10,1,1,1,0,1,0,1,0,e,2.323,2.323,6.298,1,0,0,12.598,0,5.969,96.946,111.54,36,1,0,0,1,0,2,1,0,5.764,74.825,87.058,16,1,4,1,0,0,0,1,1,3.807,93.05,127.995,16,0,1,0,1,2,3,1,0,4.891,80.387,82.944,18,0,0,0,1,2,4,2,0,9.242,139.833,144.305,16,2,1,1,1,1,1,1,0,20.541,32.984,130.105,4,0,1,0,0,0,0,1,0,7.887,89.458,133.643,14,0,0,2,0,2,1,2,0,9.783,112.447,153.58,14,2,2,2,1,0,0,0,0,12.203,61.882,105.577,8,0,0,0,1,0,1,2,0,13.282,95.709,119.965,15,1,1,0,1,0,0,0,0,17,11,10,17,6,12.2,4.785,23.687,25.674,5,3,2,1,1,3,3,3,1,2.125,4.201,31.943,33.386,9,5,3,4,3,3,4,2,4,3.5,3.548,31.436,34.556,8,,4,,5,11
16-11-20 23:09,16-11-20 23:37,IP Address,81.144.201.76,100,1728,TRUE,16-11-20 23:38,R_2EaBFCIvI5Y2pO6,,,,,53.80169678,-1.784805298,anonymous,EN,0.9,s,2.912,2.912,6.449,1,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ea9516c1eb4f003519bf6ab,Female,,26,1.885,2.561,5.369,2,0,0,69.269,0,0,0,25.069,0,0,0,51.768,0,45.934,45.934,70.156,1,15.132,58.885,59.781,10,0,2,0,1,0,2,0,1,6.949,72.074,74.59,13,0,1,1,1,0,0,0,2,6.261,20.375,21.727,6,1,0,0,0,2,0,2,0,7.164,16.358,18.647,6,1,1,1,0,1,0,1,0,e,1.633,1.633,4.784,1,0,0,6.812,0,2.666,104.681,106.082,50,1,0,0,1,2,2,1,1,2.695,70.7,79.468,23,1,4,1,0,0,0,1,2,3.606,74.681,113.343,18,0,1,0,1,2,3,1,0,2.759,98.509,99.946,35,0,0,0,1,2,4,2,0,2.618,114.085,115.507,36,2,1,1,0,1,1,1,0,4.681,228.912,236.101,54,0,2,1,1,0,3,1,1,4.309,103.296,104.527,26,0,1,1,1,2,1,2,1,2.589,58.43,60.037,19,3,1,3,1,0,0,0,0,3.309,65.624,113.442,18,1,1,1,1,1,1,1,0,4.713,80.491,101.942,27,0,1,0,1,1,3,0,1,15,6,1,16,1,7.8,3.15,14.117,15.265,5,3,1,3,2,3,1,1,2,2,3.293,29.169,30.066,11,5,4,3,3,4,4,3,5,3.875,5.123,33.808,34.461,8,,4,,5,11
16-11-20 23:14,16-11-20 23:38,IP Address,188.146.3.46,100,1442,TRUE,16-11-20 23:38,R_2V8FGl1ShDwT6mz,,,,,50.16439819,19.46299744,anonymous,EN,0.9,s,7.238,34.581,40.317,9,"Yes, I understand the explanatory statement and agree to participate in this study.",Yes,5ed4c78ee57c560008d1ec45,Male,,20,2.822,4.157,7.464,2,0,0,63.231,0,0,0,19.787,0,0,0,29.492,0,24.603,31.545,32.589,2,11.078,57.186,59.207,5,0,1,0,1,0,2,0,1,20.18,55.551,60.432,8,0,1,1,1,0,0,0,2,16.089,50.433,66.649,3,1,0,0,0,2,0,2,0,3.813,80.992,84.586,9,1,1,1,0,1,0,1,0,e,3.165,3.165,9.975,1,6.279,20.888,22.186,4,4.131,47.134,56.673,16,1,0,0,2,1,2,1,1,4.975,49.377,51.45,21,1,4,0,0,0,0,1,0,3.111,34.801,41.217,15,0,1,0,1,3,2,1,0,35.495,69.457,78.651,5,0,0,0,0,2,4,2,0,11.179,64.886,75.848,18,2,1,1,1,1,1,1,0,25.181,37.098,48.644,7,1,2,1,1,0,3,1,1,4.499,46.925,57.91,15,0,1,1,1,1,1,2,0,10.505,64.282,74.024,12,1,1,3,1,0,0,0,0,29.39,86.085,88.748,24,1,1,1,2,1,1,1,1,12.248,81.134,83.205,16,0,1,0,1,2,3,0,1,10,4,14,15,10,10.6,4.503,27.146,28.208,8,3,4,2,2,4,2,4,2,2.875,3.703,66.344,67.17,11,4,4,4,4,3,3,2,3,3.375,3.36,48.955,50.202,8,,4,,5,11
